county,清心福全,50嵐,茶的魔手,麻古,可不可,得正,COMEBUY,總飲料店數,人均可支配所得,每萬人飲料店數,10~24歲人口數,25~45歲人口數,旅宿業房間數
南投縣,23,11.0,7.0,2.0,4,4,0.0,51.0,330292,1.0813171715287069,66779,138890,11549
台中市,146,117.0,15.0,42.0,41,32,2.0,395.0,394704,1.3795343460396012,437040,918668,24169
台北市,69,70.0,2.0,22.0,31,30,51.0,275.0,540380,1.1084771901594634,328332,715982,41526
台南市,49,28.0,207.0,54.0,20,14,1.0,373.0,345618,2.007208731411794,254554,573446,15965
台東縣,4,1.0,1.0,3.0,1,1,0.0,11.0,330321,0.5241489726680135,30311,60818,15076
嘉義市,7,13.0,0.0,4.0,2,1,0.0,27.0,394613,1.0307900815087712,42139,77525,5477
嘉義縣,7,10.0,27.0,4.0,2,4,0.0,54.0,314778,1.1299955218695985,64297,137325,4221
基隆市,18,2.0,0.0,0.0,2,2,6.0,30.0,357347,0.8304498269896193,47343,106413,1446
宜蘭縣,30,0.0,1.0,3.0,2,3,11.0,50.0,356193,1.1125500091229101,64049,134253,18746
屏東縣,28,26.0,43.0,26.0,8,4,1.0,136.0,333220,1.7254941764571545,107756,235578,12063
彰化縣,58,33.0,9.0,16.0,15,12,2.0,145.0,329084,1.1858215003340746,185591,384232,3093
新北市,148,66.0,1.0,19.0,38,27,71.0,370.0,439673,0.9142360137333075,553878,1256501,15055
新竹市,25,18.0,0.0,5.0,9,3,2.0,62.0,502089,1.357068906268126,76278,143329,3957
新竹縣,28,12.0,2.0,5.0,11,5,0.0,63.0,474837,1.0579807010885445,97546,189400,2644
桃園市,110,34.0,2.0,16.0,37,17,28.0,244.0,403802,1.0420376790575197,359857,757616,13575
花蓮縣,13,0.0,1.0,2.0,3,1,2.0,22.0,368048,0.6985923364420692,44809,92538,16152
苗栗縣,28,8.0,0.0,4.0,6,4,0.0,50.0,369309,0.9386639432896792,80055,163462,3662
雲林縣,20,17.0,12.0,5.0,6,3,0.0,63.0,352839,0.9588544885044,96588,190787,3166
高雄市,83,142.0,139.0,117.0,32,21,0.0,534.0,392459,1.9562804295024674,372873,829931,24253
